X1	X2	X3
20.1742150882775	16.2141310208488	17.8465517793709
14.5281133788817	16.0086622010608	15.0785662158641
16.1838125850663	15.293592177172	15.7054026810689
13.6344305580862	8.82661813074443	14.1259572342198
16.227158690138	14.1405158139886	15.1800953385454
14.2203496819853	14.0017209693605	14.2048728618883
20.3564734751891	15.6424506688331	11.0596768149636
13.6059370377996	15.1924554453066	12.6259853702737
12.7311675166226	13.6583616426914	13.3407597114049
12.5475833537781	14.1689740358229	11.0490167645661
13.8062711582071	13.1758568028019	11.253983210587
16.6775696465939	12.6834535085087	14.0502937477644
11.7641494904317	10.7159660756878	11.5892264442138
17.4435259790519	11.2576683394691	11.5636346495174
14.3040309441242	13.1073417207506	10.9765923453843
10.6919038875203	16.9481646941902	13.3190090558862
19.4690369592572	11.0440618855566	14.7915319445928
13.9004555687169	14.2955893896527	6.93692237227378
16.2785774480028	14.2564807352181	10.0415859458967
11.3673465471799	11.6502611115753	14.7736236722713
11.7843362467577	15.845875098048	11.7533835656833
16.6980968954661	14.8498974909204	13.9981539652921
14.72483958593	11.9650989997289	15.9713283081712
13.8421109833221	17.1198302260604	8.36170528771006
18.3702634772479	13.2445095898435	11.7380069032219
14.5316435573409	11.0283508912818	14.3440984010372
17.6248652890104	12.920297239684	11.9506971056035
13.1715867899496	13.0462879510025	14.9731700589867
17.0531523045441	13.4262380548663	11.7206898555075
12.389186890247	14.125996852273	9.7945734909198
16.7303398515664	11.8838009020396	12.4356377365738
13.9167033480526		11.593019841412
17.1374675779019		10.300692038139
16.3191518616629		13.433539056275
15.3466826086072		11.583163971431
14.8922791567935		9.43858395898401
16.8262129398749		13.1892259735106
16.7750499923484		11.6955455986904
15.090107616686		10.9162838163776
11.9571224178265		13.1694311246832
		13.3670173982684
		12.0032824733143
		10.8505512768019
		11.3309068338227
		12.1348316601876
		10.6824879271811
